latitude,longitude,frp,brightness_k,confidence,nearest_facility,distance_km,classification,severity
23.70947,86.44797,1.58,315.12,n,None,104.13,Agricultural / Stubble Burning,MODERATE
23.71216,86.45234,1.58,317.83,n,None,104.54,Agricultural / Stubble Burning,MODERATE
23.71276,86.44859,1.58,310.25,n,None,104.5,Agricultural / Stubble Burning,MODERATE
23.71368,86.42171,1.0,308.73,n,None,103.93,Agricultural / Stubble Burning,MODERATE
23.71697,86.42233,1.0,310.16,n,None,104.3,Agricultural / Stubble Burning,MODERATE
23.71726,86.4417,2.08,311.89,n,None,104.81,Agricultural / Stubble Burning,MODERATE
23.72445,86.4392,1.47,310.37,n,None,105.52,Agricultural / Stubble Burning,MODERATE
23.7247,86.50117,0.45,301.85,n,None,107.27,Agricultural / Stubble Burning,MODERATE
23.73554,86.43355,1.84,321.97,n,None,106.57,Agricultural / Stubble Burning,MODERATE
23.73614,86.4298,1.84,312.63,n,None,106.55,Agricultural / Stubble Burning,MODERATE
23.73884,86.43418,3.09,327.36,n,None,106.95,Agricultural / Stubble Burning,MODERATE
23.75172,86.41727,2.61,316.26,n,None,107.95,Agricultural / Stubble Burning,MODERATE
23.75472,86.39852,1.25,304.43,n,None,107.87,Agricultural / Stubble Burning,MODERATE
23.75741,86.40289,1.93,318.42,n,None,108.25,Agricultural / Stubble Burning,MODERATE
23.76071,86.4035,1.93,320.94,n,None,108.62,Agricultural / Stubble Burning,MODERATE
23.76131,86.39976,2.69,312.3,n,None,108.61,Agricultural / Stubble Burning,MODERATE
23.7634,86.40787,2.71,313.48,n,None,109.01,Agricultural / Stubble Burning,MODERATE
23.764,86.40412,2.71,337.11,n,None,108.99,Agricultural / Stubble Burning,MODERATE
23.7646,86.40038,1.45,307.69,n,None,108.98,Agricultural / Stubble Burning,MODERATE
23.7658,86.39287,1.9,310.35,n,None,108.96,Agricultural / Stubble Burning,MODERATE
23.7673,86.40474,2.71,321.37,n,None,109.37,Agricultural / Stubble Burning,MODERATE
23.76789,86.401,1.45,311.15,n,None,109.35,Agricultural / Stubble Burning,MODERATE
23.77195,86.20503,0.61,303.16,n,None,107.58,Agricultural / Stubble Burning,MODERATE
23.77314,86.19756,2.01,316.19,n,None,107.7,Agricultural / Stubble Burning,MODERATE
23.77388,86.36349,1.65,319.54,n,None,109.3,Agricultural / Stubble Burning,MODERATE
23.77465,86.20938,2.02,308.18,n,None,107.89,Agricultural / Stubble Burning,MODERATE
23.77687,86.38723,2.52,320.22,n,None,110.06,Agricultural / Stubble Burning,MODERATE
23.77794,86.21,2.02,323.72,n,None,108.26,Agricultural / Stubble Burning,MODERATE
23.77927,86.37223,1.36,308.96,n,None,110.05,Agricultural / Stubble Burning,MODERATE
23.77957,86.3916,1.54,316.23,n,None,110.44,Agricultural / Stubble Burning,MODERATE
23.78017,86.38784,1.58,312.82,n,None,110.43,Agricultural / Stubble Burning,MODERATE
23.78123,86.21062,2.91,321.15,n,None,108.63,Agricultural / Stubble Burning,MODERATE
23.78256,86.37284,0.93,306.24,n,None,110.42,Agricultural / Stubble Burning,MODERATE
23.78287,86.39221,1.54,305.72,n,None,110.81,Agricultural / Stubble Burning,MODERATE
23.79602,86.35221,2.67,319.74,n,None,111.55,Agricultural / Stubble Burning,MODERATE
23.80289,86.33033,2.48,341.03,n,None,111.99,Agricultural / Stubble Burning,MODERATE
23.80349,86.32658,2.48,305.26,n,None,112.0,Agricultural / Stubble Burning,MODERATE
23.80618,86.33095,2.48,309.99,n,None,112.36,Agricultural / Stubble Burning,MODERATE
24.1132,86.86172,1.12,303.61,n,None,161.03,Agricultural / Stubble Burning,MODERATE
24.11712,86.85856,1.12,305.53,n,None,161.29,Agricultural / Stubble Burning,MODERATE
24.11981,86.86299,0.67,304.79,n,None,161.75,Agricultural / Stubble Burning,MODERATE
24.16286,82.62945,0.73,302.19,n,None,338.92,Agricultural / Stubble Burning,MODERATE
24.18079,82.6594,1.48,306.02,n,None,338.81,Agricultural / Stubble Burning,MODERATE
24.20588,82.52586,0.79,301.82,n,None,329.45,Agricultural / Stubble Burning,MODERATE
11.63526,77.78582,1.59,305.27,n,None,1129.3,Agricultural / Stubble Burning,MODERATE
11.63575,77.78219,1.59,311.22,n,None,1129.38,Agricultural / Stubble Burning,MODERATE
13.44537,80.09873,0.39,300.75,n,None,871.82,Agricultural / Stubble Burning,MODERATE
15.33156,76.28658,0.75,296.84,n,None,844.56,Agricultural / Stubble Burning,MODERATE
17.14091,77.17721,1.62,303.44,n,None,630.44,Agricultural / Stubble Burning,MODERATE
6.86858,81.53471,2.84,310.71,n,None,1592.56,Agricultural / Stubble Burning,MODERATE
6.86912,81.53126,3.13,314.56,n,None,1592.49,Agricultural / Stubble Burning,MODERATE
7.01476,81.53342,0.68,308.97,n,None,1576.3,Agricultural / Stubble Burning,MODERATE
7.03347,79.88908,1.44,308.42,n,None,1582.27,Agricultural / Stubble Burning,MODERATE
7.21097,80.88227,0.9,306.21,n,None,1555.32,Agricultural / Stubble Burning,MODERATE
9.33208,77.42133,0.57,306.37,n,None,1384.95,Agricultural / Stubble Burning,MODERATE
32.72242,72.92347,1.65,300.7,n,None,731.89,Agricultural / Stubble Burning,MODERATE
32.88718,71.61486,4.06,305.81,n,None,829.14,Agricultural / Stubble Burning,MODERATE
33.23782,73.32808,0.51,302.18,n,None,754.41,Agricultural / Stubble Burning,MODERATE
20.90911,71.45748,1.27,302.22,n,None,225.98,Agricultural / Stubble Burning,MODERATE
21.1023,72.64445,4.61,325.85,n,None,307.38,Agricultural / Stubble Burning,MODERATE
21.10851,72.64623,1.73,300.23,n,None,307.19,Agricultural / Stubble Burning,MODERATE
21.16195,72.67301,7.13,331.97,n,None,306.69,Agricultural / Stubble Burning,MODERATE
21.16321,72.66759,5.75,306.16,n,None,306.13,Agricultural / Stubble Burning,MODERATE
21.16448,72.67401,7.51,335.15,n,None,306.65,Agricultural / Stubble Burning,MODERATE
21.16577,72.6686,7.51,324.7,n,None,306.09,Agricultural / Stubble Burning,MODERATE
22.3335,69.86754,1.92,305.97,n,None,24.8,Agricultural / Stubble Burning,MODERATE
